Chromosome	Distance_bp
chr1 45764
chr1 49475
chr1 1234
chr1 146953
chr1 49748
chr1 4308
chr1 45407
chr1 32914
chr1 8088
chr1 15146
chr1 16086
chr1 24557
chr1 51457
chr1 4495
chr1 28701
chr1 4096
chr1 119204
chr1 7112
chr1 132
chr1 46027
chr1 19487
chr1 17868
chr1 8696
chr1 114155
chr1 73219
chr1 85351
chr1 244219
chr1 26280
chr1 247663
chr1 106299
chr1 39187
chr1 13181
chr1 104763
chr1 367997
chr1 20768
chr1 62445
chr1 226841
chr1 97436
chr1 95678
chr1 213559
chr1 62180
chr1 839389
chr1 871469
chr1 115679
chr1 12985
chr1 108763
chr1 91
chr1 322870
chr1 236809
chr1 435953
chr1 11038
chr1 169279
chr1 208
chr1 139627
chr1 51797
chr1 5463
chr1 20284
chr1 47215
chr1 23886
chr1 63180
chr1 31566
chr1 58361
chr1 3635
chr1 22633
chr1 134047
chr1 41774
chr1 106266
chr1 44190
chr1 31094
chr1 60592
chr1 58386
chr1 4691
chr1 26620
chr1 5458
chr1 90884
chr1 224341
chr1 72394
chr1 12083
chr1 54067
chr1 12566
chr1 86601
chr1 53765
chr1 134058
chr1 60366
chr1 138481
chr1 24049
chr1 222776
chr1 9679
chr1 223413
chr1 190177
chr1 87446
chr1 71624
chr1 99516
chr1 38
chr1 65105
chr1 9552
chr1 97155
chr1 26335
chr1 145573
chr1 68698
chr1 4854
chr1 35
chr1 12992
chr1 73826
chr1 114880
chr1 29652
chr1 162739
chr1 5271
chr1 134095
chr1 65028
chr1 10633
chr1 56607
chr1 39
chr1 20041
chr1 193
chr1 79301
chr1 10478
chr1 32579
chr1 81906
chr1 5287
chr1 71373
chr1 37429
chr1 9965
chr1 6153
chr1 36165
chr1 26184
chr1 55776
chr1 126395
chr1 44489
chr1 184227
chr1 120692
chr1 52676
chr1 82664
chr1 187688
chr1 289
chr1 49951
chr1 45687
chr1 6001
chr1 141
chr1 76368
chr1 53016
chr1 29211
chr1 10044
chr1 20676
chr1 769739
chr1 157435
chr1 69517
chr1 167856
chr1 31514
chr1 239193
chr1 73948
chr1 51408
chr1 51974
chr1 103618
chr1 6502
chr1 39695
chr1 42913
chr1 1679
chr1 38776
chr1 48093
chr1 114809
chr1 12138
chr1 198189
chr1 137247
chr1 53077
chr1 135873
chr1 70178
chr1 26186
chr1 54310
chr1 4441
chr1 15
chr1 261034
chr1 62
chr1 161409
chr1 166133
chr1 8120
chr1 134784
chr1 11307
chr1 7397
chr1 40469
chr1 89948
chr1 72430
chr1 56620
chr1 222588
chr1 32146
chr1 9423
chr1 15068
chr1 96865
chr1 83
chr1 23809
chr1 11744
chr1 49312
chr1 135
chr1 141469
chr1 134563
chr1 21077
chr1 50
chr1 40193
chr1 131402
chr1 92
chr1 11591
chr1 80338
chr1 2192
chr1 32879
chr1 79883
chr1 14497
chr1 65296
chr1 101278
chr1 16334
chr1 419
chr1 3724
chr1 18446
chr1 6729
chr1 38
chr1 82034
chr1 52436
chr1 47391
chr1 19800
chr1 16058
chr1 14395
chr1 66262
chr1 104452
chr1 8
chr1 122397
chr1 54868
chr1 99590
chr1 60913
chr1 37019
chr1 40660
chr1 21
chr1 3133
chr1 76895
chr1 8286
chr1 1116
chr1 27082
chr1 34190
chr1 292907
chr1 26239
chr1 66550
chr1 40460
chr1 36703
chr1 229956
chr1 114269
chr1 240510
chr1 58024
chr1 38907
chr1 84346
chr1 84329
chr1 80711
chr1 94682
chr1 196547
chr1 39885
chr1 58632
chr1 5450
chr1 32552
chr1 32868
chr1 3948
chr1 4833
chr1 31567
chr1 34405
chr1 75762
chr1 4228
chr1 25692
chr1 72277
chr1 23209
chr1 58430
chr1 91674
chr1 46892
chr1 27195
chr1 128841
chr1 69801
chr1 32753
chr1 37992
chr1 92260
chr1 47734
chr1 41448
chr1 143387
chr1 8588
chr1 42210
chr1 60011
chr1 72475
chr1 482244
chr1 117235
chr1 14805
chr1 5150
chr1 39846
chr1 66801
chr1 73079
chr1 1668
chr1 314778
chr1 12528
chr1 61354
chr1 34722
chr1 48
chr1 15995
chr1 85976
chr1 22234
chr1 234077
chr1 48110
chr1 32162
chr1 58802
chr1 51434
chr1 27736
chr1 12718
chr1 53466
chr1 271870
chr1 78501
chr1 19934
chr1 117019
chr1 30892
chr1 3409
chr1 17228
chr1 57901
chr1 28887
chr1 320463
chr1 23151
chr1 128581
chr1 67129
chr1 11
chr1 7693
chr1 16103
chr1 25389
chr1 158636
chr1 44781
chr1 44111
chr1 99233
chr1 42545
chr1 14584
chr1 101826
chr1 95261
chr1 31420
chr1 52276
chr1 39706
chr1 160601
chr1 63205
chr1 15706
chr1 54343
chr1 19663
chr1 16121
chr1 102829
chr1 210227
chr1 72505
chr1 8577
chr1 25709
chr1 229851
chr1 25483
chr1 12703
chr1 45494
chr1 29508
chr1 13642
chr1 37546
chr1 89959
chr1 3665
chr1 128269
chr1 88071
chr1 116
chr1 58700
chr1 85529
chr1 73438
chr1 62576
chr1 56280
chr1 18439
chr1 24683
chr1 38729
chr1 19780
chr1 79948
chr1 568
chr1 39171
chr1 16805
chr1 22
chr1 15772
chr1 60161
chr1 2673
chr1 21709
chr1 108587
chr1 7319
chr1 60462
chr1 66375
chr1 27076
chr1 30641
chr1 68701
chr1 30305
chr1 133867
chr1 6902
chr1 116431
chr1 65840
chr1 69375
chr1 61957
chr1 239
chr1 154012
chr1 13113
chr1 22172
chr1 124465
chr1 316984
chr1 470667
chr1 121463
chr1 88817
chr1 12
chr1 6309
chr1 47344
chr1 22014
chr1 23217
chr1 44907
chr1 8772
chr1 1547
chr1 50917
chr1 21035
chr1 5852
chr1 35105
chr1 10710
chr1 4359
chr1 81767
chr1 5096
chr1 79
chr1 36516
chr1 124
chr1 47081
chr1 5
chr1 14173
chr1 101394
chr1 129872
chr1 124173
chr1 78441
chr1 107082
chr1 49611
chr1 231602
chr1 138162
chr1 326176
chr1 21374
chr1 75508
chr1 37839
chr1 2067
chr1 73817
chr1 9717
chr1 57288
chr1 143670
chr1 48418
chr1 6752
chr1 65050
chr1 48639
chr1 43735
chr1 11232
chr1 1749
chr1 93863
chr1 85128
chr1 8465
chr1 85649
chr1 55017
chr1 14169
chr1 92313
chr1 61325
chr1 76323
chr1 781639
chr1 244690
chr1 117910
chr1 58
chr1 134177
chr1 13119
chr1 8264
chr1 49471
chr1 89709
chr1 56680
chr1 53639
chr1 28234
chr1 25
chr1 186342
chr1 11916
chr1 162278
chr1 9263
chr1 10978
chr1 123550
chr1 256054
chr1 21455
chr1 233304
chr1 140142
chr1 57048
chr1 2510
chr1 31643
chr1 263295
chr1 48905
chr1 114535
chr1 105237
chr1 339348
chr1 111360
chr1 5051
chr1 4154
chr1 17481
chr1 41936
chr1 131716
chr1 45149
chr1 41498
chr1 124751
chr1 34754
chr1 81390
chr1 85131
chr1 111471
chr1 21835
chr1 123230
chr1 15971
chr1 37582
chr1 55
chr1 8805
chr1 30309
chr1 9172
chr1 52863
chr1 17920
chr1 12360
chr1 34703
chr1 128981
chr1 10211
chr1 16863
chr1 13855
chr1 17830
chr1 117015
chr1 37121
chr1 15278
chr1 313105
chr1 10296
chr1 13046
chr1 348774
chr1 30628
chr1 162952
chr1 134809
chr1 134285
chr1 49510
chr1 120207
chr1 484616
chr1 59455
chr1 21733
chr1 353293
chr1 124138
chr1 106991
chr1 207059
chr1 1320
chr1 7470
chr1 41486
chr1 82241
chr1 5433
chr1 40261
chr1 17952
chr1 578
chr1 18627
chr1 87700
chr1 21338
chr1 20526
chr1 25492
chr1 71141
chr1 26281
chr1 65
chr1 12760
chr1 152746
chr1 42213
chr1 71514
chr1 18537
chr1 166020
chr1 95566
chr1 6959
chr1 12707
chr1 3190
chr1 17322
chr1 14451
chr1 60063
chr1 41883
chr1 38328
chr1 17166
chr1 46400
chr1 190746
chr1 49082
chr1 44555
chr1 24120
chr1 8622
chr1 137938
chr1 95254
chr1 85073
chr1 50074
chr1 103930
chr1 25416
chr1 49553
chr1 59339
chr1 4307
chr1 90317
chr1 35370
chr1 19898
chr1 14492
chr1 40822
chr1 526854
chr1 23101
chr1 233615
chr1 26406
chr1 11220
chr1 15332
chr1 96272
chr1 12319
chr1 36406
chr1 68203
chr1 36417
chr1 14464
chr1 44945
chr1 34239
chr1 11165
chr1 33366
chr1 46867
chr1 777
chr1 174953
chr1 154866
chr1 6725
chr1 73
chr1 160938
chr1 39925
chr1 8420
chr1 132671
chr1 63121
chr1 3758
chr1 46442
chr1 345820
chr1 7018
chr1 41875
chr1 28265
chr1 135801
chr1 64790
chr1 58872
chr1 88402
chr1 26236
chr1 50272
chr1 38409
chr1 90903
chr1 65315
chr1 100575
chr1 91258
chr1 12860
chr1 297823
chr1 148265
chr1 80563
chr1 167557
chr1 34630
chr1 137829
chr1 148
chr1 170973
chr1 165717
chr1 82540
chr1 13152
chr1 14954
chr1 182151
chr1 16333
chr1 23069
chr1 80074
chr1 51327
chr1 178176
chr1 45275
chr1 195655
chr1 116
chr1 30786
chr1 11833
chr1 20112
chr1 279
chr1 240196
chr1 4443
chr1 104834
chr1 82692
chr1 14218
chr1 6489
chr1 35957
chr1 76862
chr1 36956
chr1 64086
chr1 57807
chr1 1076
chr1 43918
chr1 137509
chr1 4116
chr1 86312
chr1 55339
chr1 9444
chr1 171485
chr1 13600
chr1 45231
chr1 37875
chr1 34600
chr1 80699
chr1 79181
chr1 141627
chr1 32583
chr1 111540
chr1 58943
chr1 70056
chr1 15406
chr1 81318
chr1 88560
chr1 52145
chr1 666
chr1 3554
chr1 9510
chr1 43876
chr1 31482
chr1 12040
chr1 60198
chr1 8550
chr1 33464
chr1 35397
chr1 61692
chr1 121658
chr1 4
chr1 75847
chr1 196729
chr1 411153
chr1 52395
chr1 11211
chr1 103993
chr1 195163
chr1 21979
chr1 40923
chr1 21541
chr1 9000
chr1 13819
chr1 7880
chr1 145510
chr1 8964
chr1 93519
chr1 10965
chr1 162882
chr1 6782
chr1 74732
chr1 43096
chr1 192910
chr1 25347
chr1 178600
chr1 38546
chr1 23366
chr1 8397
chr1 66671
chr1 18655
chr1 26002
chr1 77193
chr1 129638
chr1 9681
chr1 37068
chr1 7137
chr1 22
chr1 34661
chr1 34048
chr1 79088
chr1 20809
chr1 47279
chr1 1153
chr1 21923
chr1 46516
chr1 66415
chr1 468
chr1 20861
chr1 9640
chr1 3543
chr1 20879
chr1 21380
chr1 128
chr1 46918
chr1 53231
chr1 19446
chr1 25528
chr1 52635
chr1 7672
chr1 121673
chr1 27391
chr1 159422
chr1 112532
chr1 17
chr1 3145
chr1 115309
chr1 13603
chr1 14436
chr1 6757
chr1 25361
chr1 64728
chr1 79337
chr1 36401
chr1 16967
chr1 90961
chr1 77461
chr1 116631
chr1 43392
chr1 44113
chr1 45003
chr1 77959
chr1 109139
chr1 37050
chr1 62653
chr1 56186
chr1 60182
chr1 9733
chr1 34434
chr1 18094
chr1 14501
chr1 20342
chr1 47420
chr1 9831
chr1 54146
chr1 2002
chr1 47073
chr1 21295
chr1 46525
chr1 40045
chr1 119001
chr1 19067
chr1 27216
chr1 56243
chr1 13967
chr1 248537
chr1 5578
chr1 28716
chr1 26978
chr1 15531
chr1 29426
chr1 4441
chr1 9922
chr1 38803
chr1 13598
chr1 190772
chr1 94
chr1 113680
chr1 55306
chr1 11422
chr1 19130
chr1 37098
chr1 18311
chr1 10717
chr1 63027
chr1 64356
chr1 23378
chr1 4078
chr1 45992
chr1 79
chr1 71479
chr1 26822
chr1 53091
chr1 3966
chr1 40262
chr1 63
chr1 25401
chr1 59838
chr1 122002
chr1 78297
chr1 45586
chr1 5136
chr1 9490
chr1 35749
chr1 56263
chr1 112578
chr1 49843
chr1 43549
chr1 64694
chr1 98872
chr1 314
chr1 38
chr1 27564
chr1 36891
chr1 102186
chr1 114185
chr1 215346
chr1 115027
chr1 15077
chr1 13498
chr1 36030
chr1 37674
chr1 112243
chr1 108046
chr1 80734
chr1 76900
chr1 27779
chr1 58870
chr1 62218
chr1 20589
chr1 61266
chr1 2435
chr1 7709
chr1 49160
chr1 20589
chr1 73444
chr1 11740
chr1 33833
chr1 82448
chr1 1112341
chr1 118965
chr1 817261
chr1 62266
chr1 10870
chr1 80895
chr1 26716
chr1 70366
chr1 52170
chr1 20000
chr1 10272
chr1 33367
chr1 5713
chr1 4325
chr1 15792
chr1 22073
chr1 163860
chr1 31577
chr1 180
chr1 49237
chr1 21098
chr1 37201
chr1 31448
chr1 507724
chr1 401818
chr1 6
chr1 8287
chr1 727854
chr1 5880
chr1 148873
chr1 8754
chr1 63069
chr1 13900
chr1 27504
chr1 65213
chr1 42500
chr1 59892
chr1 55237
chr1 31943
chr1 401142
chr1 179124
chr1 64927
chr1 21007
chr1 40957
chr1 22
chr1 73
chr1 253252
chr1 135686
chr1 77494
chr1 6570
chr1 80035
chr1 24712
chr1 49456
chr1 24966
chr1 295944
chr1 49914
chr1 73788
chr1 81224
chr1 113423
chr1 24671
chr1 30325
chr1 424191
chr1 18
chr1 43536
chr1 110699
chr1 195517
chr1 442909
chr1 129397
chr1 197
chr1 19806
chr1 169831
chr1 52511
chr1 38100
chr1 53081
chr1 160426
chr1 78930
chr1 94174
chr1 115134
chr1 66901
chr1 41444
chr1 125992
chr1 31469
chr1 33907
chr1 305690
chr1 38533
chr1 19903
chr1 8800
chr1 59147
chr1 14440
chr1 131780
chr1 34689
chr1 18880
chr1 11333
chr1 13619
chr1 4507
chr1 49984
chr1 30085
chr1 29626
chr1 120039
chr1 132266
chr1 60942
chr1 38
chr1 50536
chr1 104634
chr1 135
chr1 6417
chr1 85913
chr1 104077
chr1 187429
chr1 15658
chr1 4109
chr1 107313
chr1 187
chr1 1701
chr1 53984
chr1 123826
chr1 28645
chr1 191391
chr1 41888
chr1 131624
chr1 41546
chr1 52110
chr1 117872
chr1 3
chr1 161155
chr1 18
chr1 137416
chr1 7516
chr1 319732
chr1 18542
chr1 157481
chr1 75696
chr1 18837
chr1 13535
chr1 31995
chr1 33441
chr1 3431943
chr1 7563
chr1 20147
chr1 87479
chr1 37
chr1 18201201
chr1 19825
chr1 226835
chr1 42280
chr1 58338
chr1 73613
chr1 266539
chr1 18579
chr1 80712
chr1 11895
chr1 25702
chr1 19828
chr1 183829
chr1 81941
chr1 102840
chr1 61357
chr1 183694
chr1 19827
chr1 24784
chr1 11897
chr1 183187
chr1 18591
chr1 176133
chr1 181632
chr1 38496
chr1 32010
chr1 42537
chr1 28647
chr1 3840
chr1 77561
chr1 18742
chr1 11142
chr1 5213
chr1 59790
chr1 194032
chr1 237396
chr1 28571
chr1 143531
chr1 346458
chr1 10389
chr1 43448
chr1 36610
chr1 104143
chr1 154
chr1 85410
chr1 22906
chr1 35244
chr1 53296
chr1 54617
chr1 121
chr1 27307
chr1 54267
chr1 101737
chr1 3907
chr1 17767
chr1 31739
chr1 669
chr1 22307
chr1 58351
chr1 17049
chr1 243555
chr1 31332
chr1 124442
chr1 11877
chr1 116293
chr1 61558
chr1 45523
chr1 31973
chr1 332705
chr1 7543
chr1 139590
chr1 28355
chr1 192724
chr1 42305
chr1 32413
chr1 129484
chr1 48914
chr1 140460
chr1 39
chr1 32385
chr1 42287
chr1 133514
chr1 28561
chr1 103385
chr1 31990
chr1 354444
chr1 152888
chr1 2033491
chr1 68913
chr1 59353
chr1 6524
chr1 24966
chr1 71468
chr1 24723
chr1 4785
chr1 63852
chr1 15783
chr1 67666
chr1 69394
chr1 48617
chr1 22277
chr1 36453
chr1 32032
chr1 14760
chr1 63911
chr1 1848
chr1 90062
chr1 8377
chr1 30952
chr1 49500
chr1 92782
chr1 71774
chr1 131725
chr1 98506
chr1 19473
chr1 20662
chr1 43095
chr1 70590
chr1 447670
chr1 53589
chr1 1101
chr1 25884
chr1 24295
chr1 590742
chr1 2647
chr1 21
chr1 98162
chr1 221792
chr1 129353
chr1 1900658
chr1 141726
chr1 35203
chr1 67
chr1 17898
chr1 40197
chr1 22030
chr1 14778
chr1 2995
chr1 45650
chr1 162971
chr1 28
chr1 6915
chr1 2706
chr1 33697
chr1 87579
chr1 466
chr1 47865
chr1 8531
chr1 122478
chr1 16669
chr1 30998
chr1 227085
chr1 80078
chr1 26457
chr1 33820
chr1 4538
chr1 33428
chr1 46215
chr1 27381
chr1 20521
chr1 17760
chr1 41751
chr1 53502
chr1 44867
chr1 74405
chr1 22244
chr1 24075
chr1 2668
chr1 16535
chr1 55539
chr1 20
chr1 45091
chr1 38577
chr1 18419
chr1 4115
chr1 65394
chr1 13200
chr1 167063
chr1 32035
chr1 5397
chr1 80359
chr1 24028
chr1 5886
chr1 84604
chr1 23119
chr1 18318
chr1 16913
chr1 5177
chr1 44999
chr1 36795
chr1 48244
chr1 6702
chr1 5111
chr1 53461
chr1 27
chr1 12352
chr1 2174
chr1 90340
chr1 26218
chr1 35708
chr1 137403
chr1 114
chr1 52011
chr1 508105
chr1 33962
chr1 8224
chr1 5780
chr1 39691
chr1 18757
chr1 14239
chr1 134558
chr1 117744
chr1 50572
chr1 19078
chr1 580207
chr1 17
chr1 120804
chr1 78253
chr1 35709
chr1 68396
chr1 307
chr1 5078
chr1 25343
chr1 102990
chr1 161881
chr1 17991
chr1 147256
chr1 46243
chr1 9749
chr1 165004
chr1 7195
chr1 192219
chr1 65522
chr1 256827
chr1 49139
chr1 22504
chr1 8110
chr1 25951
chr1 20448
chr1 107422
chr1 321
chr1 10019
chr1 8123
chr1 169870
chr1 58551
chr1 26435
chr1 232951
chr1 13836
chr1 172922
chr1 23586
chr1 34418
chr1 10454
chr1 44734
chr1 43772
chr1 20443
chr1 56242
chr1 3892
chr1 24387
chr1 21433
chr1 65226
chr1 98504
chr1 117503
chr1 5446
chr1 61031
chr1 259281
chr1 108535
chr1 77074
chr1 75389
chr1 12071
chr1 20
chr1 56542
chr1 89941
chr1 127312
chr1 234561
chr1 7164
chr1 74531
chr1 110708
chr1 46720
chr1 37968
chr1 80132
chr1 41365
chr1 94886
chr1 87715
chr1 16805
chr1 6
chr1 28220
chr1 274
chr1 30085
chr1 23587
chr1 16854
chr1 91281
chr1 1678
chr1 6812
chr1 111
chr1 12034
chr1 8497
chr1 9306
chr1 51880
chr1 9752
chr1 553
chr1 41777
chr1 56455
chr1 48992
chr1 15118
chr1 30517
chr1 52605
chr1 11792
chr1 16104
chr1 554797
chr1 11353
chr1 115550
chr1 98647
chr1 10488
chr1 440
chr1 316719
chr1 359650
chr1 55725
chr1 55247
chr1 15157
chr1 33664
chr1 32126
chr1 47318
chr1 38422
chr1 24620
chr1 44734
chr1 64178
chr1 18557
chr1 38221
chr1 98661
chr1 8699
chr1 35471
chr1 23810
chr1 41742
chr1 28055
chr1 38825
chr1 104958
chr1 67445
chr1 107686
chr1 251
chr1 17803
chr1 115021
chr1 7109
chr1 52636
chr1 37253
chr1 3144
chr1 133041
chr1 29987
chr1 44737
chr1 62401
chr1 2530
chr1 125418
chr1 99214
chr1 3260
chr1 45581
chr1 34348
chr1 18181
chr1 32445
chr1 45041
chr1 75591
chr1 109834
chr1 80770
chr1 17821
chr1 34759
chr1 70331
chr1 33020
chr1 18912
chr1 135762
chr1 35843
chr1 17430
chr1 17992
chr1 25645
chr1 18006
chr1 131135
chr1 12473
chr1 37139
chr1 19329
chr1 69545
chr1 163749
chr1 52693
chr1 13444
chr1 344783
chr1 6819
chr1 163308
chr1 24446
chr1 112006
chr1 14862
chr1 15168
chr1 12642
chr1 115570
chr1 2213
chr1 43231
chr1 71902
chr1 5915
chr1 6198
chr1 51671
chr1 65431
chr1 153678
chr1 237805
chr1 23034
chr1 25121
chr1 45214
chr1 38119
chr1 13374
chr1 60841
chr1 33348
chr1 60060
chr1 30232
chr1 74924
chr1 37279
chr1 56036
chr1 129309
chr1 52350
chr1 34284
chr1 75619
chr1 29415
chr1 30196
chr1 339
chr1 50612
chr1 40461
chr1 45625
chr1 62940
chr1 148698
chr1 95572
chr1 53179
chr1 22790
chr1 52545
chr1 51304
chr1 25788
chr1 23549
chr1 80180
chr1 27619
chr1 99218
chr1 17652
chr1 33
chr1 20544
chr1 8548
chr1 12411
chr1 22499
chr1 28436
chr1 125
chr1 221230
chr1 33386
chr1 53057
chr1 1791
chr1 72552
chr1 118992
chr1 80103
chr1 36892
chr1 32507
chr1 114383
chr1 10833
chr1 34780
chr1 21747
chr1 26973
chr1 54558
chr1 67799
chr1 226607
chr1 113704
chr1 89668
chr1 143788
chr1 62593
chr1 38108
chr1 28752
chr1 26043
chr1 22657
chr1 48953
chr1 118060
chr1 8198
chr1 11054
chr1 36782
chr1 37347
chr1 84788
chr1 32457
chr1 113943
chr1 299817
chr1 112593
chr1 194803
chr1 52361
chr1 108348
chr1 26461
chr1 18761
chr1 10657
chr1 79740
chr1 37199
chr1 15561
chr1 56573
chr1 20
chr1 51599
chr1 22318
chr1 120595
chr1 31
chr1 84942
chr1 46735
chr1 50538
chr1 92009
chr1 205339
chr1 211315
chr1 570310
chr1 30067
chr1 31638
chr1 23322
chr1 20817
chr1 22446
chr1 31543
chr1 30224
chr1 60255
chr1 22259
chr1 33841
chr1 17792
chr1 104292
chr1 36013
chr1 165854
chr1 18903
chr1 18848
chr1 261255
chr1 33308
chr1 49461
chr1 31877
chr1 28565
chr1 5485
chr1 109210
chr1 118301
chr1 148284
chr1 354506
chr1 11022
chr1 45128
chr1 23429
chr1 15622
chr1 50257
chr1 241770
chr1 114819
chr1 126008
chr1 51023
chr1 40
chr1 21980
chr1 4815
chr1 30864
chr1 29437
chr1 1954
chr1 21850
chr1 2973
chr1 23918
chr1 57290
chr1 91839
chr1 66037
chr1 4168
chr1 240129
chr1 3031
chr1 281095
chr1 230702
chr1 86011
chr1 84408
chr1 250447
chr1 255359
chr1 6535
chr1 15163
chr1 21072
chr1 143
chr1 45767
chr1 16355
chr1 83031
chr1 77953
chr1 206086
chr1 53742
chr1 11400
chr1 32882
chr1 23241
chr1 84895
chr1 94933
chr1 152895
chr1 94114
chr1 119249
chr1 17710
chr1 16845
chr1 173296
chr1 187569
chr1 14106
chr1 2594
chr1 25370
chr1 141041
chr1 82244
chr1 114505
chr1 864
chr1 15559
chr1 51447
chr1 185358
chr1 103204
chr1 199939
chr1 35996
chr1 42952
chr1 44628
chr1 8738
chr1 240821
chr1 38770
chr1 124621
chr1 53680
chr1 35527
chr1 49359
chr1 17191
chr1 109
chr1 30916
chr1 96599
chr1 70133
chr1 73012
chr1 10444
chr1 34873
chr1 179303
chr1 11268
chr1 67086
chr1 114198
chr1 18380
chr1 6455
chr1 62671
chr1 30373
chr1 83042
chr1 39307
chr1 47304
chr1 25817
chr1 43279
chr1 196
chr1 38
chr1 94299
chr1 13565
chr1 48925
chr1 15
chr1 60547
chr1 53617
chr1 48426
chr1 146442
chr1 33388
chr1 112073
chr1 12861
chr1 58468
chr1 70776
chr1 8427
chr1 20027
chr1 11260
chr1 21148
chr1 84377
chr1 21035
